,famrel,absences,finalgrade,weeklyAlcohol,no_famsup,famsup,no_paid,paid
0,4,6,6,1.0,1,0,1,0
1,5,4,6,1.0,0,1,1,0
2,4,10,10,2.5,1,0,0,1
3,3,2,15,1.0,0,1,0,1
4,4,4,10,1.5,0,1,0,1
5,5,10,15,1.5,0,1,0,1
6,4,0,11,1.0,1,0,1,0
7,4,6,6,1.0,0,1,1,0
8,4,0,19,1.0,0,1,0,1
9,5,0,15,1.0,0,1,0,1
10,3,0,9,1.5,0,1,0,1
11,5,4,12,1.0,0,1,1,0
12,4,2,14,2.0,0,1,0,1
13,5,2,11,1.5,0,1,0,1
14,4,0,16,1.0,0,1,1,0
15,4,4,14,1.5,0,1,1,0
16,3,6,14,1.5,0,1,0,1
17,5,4,10,1.0,0,1,1,0
18,5,16,5,3.0,0,1,1,0
19,3,4,10,2.0,1,0,0,1
20,4,0,15,1.0,1,0,1,0
21,5,0,15,1.0,0,1,0,1
22,4,2,16,2.0,1,0,1,0
23,5,0,12,3.0,0,1,1,0
24,4,2,8,1.0,0,1,0,1
25,1,14,8,2.0,0,1,0,1
26,4,2,11,1.5,0,1,0,1
27,2,4,15,3.0,1,0,0,1
28,5,4,11,1.0,0,1,1,0
29,4,16,11,5.0,0,1,0,1
30,5,0,12,3.5,0,1,0,1
31,4,0,17,1.0,0,1,1,0
32,4,0,16,1.0,0,1,1,0
33,5,0,12,1.0,1,0,1,0
34,5,0,15,1.0,0,1,0,1
35,3,0,6,1.0,0,1,1,0
36,5,2,18,1.0,0,1,1,0
37,2,7,15,1.0,0,1,1,0
38,4,2,11,1.0,0,1,0,1
39,4,8,13,1.0,0,1,0,1
40,3,25,11,1.5,0,1,1,0
41,5,8,12,3.0,0,1,1,0
42,4,2,18,1.0,0,1,1,0
43,5,0,11,1.0,0,1,1,0
44,4,14,9,2.0,1,0,1,0
45,5,8,6,1.0,0,1,0,1
46,2,12,11,2.5,0,1,1,0
47,4,4,20,1.0,1,0,1,0
48,4,2,14,2.0,0,1,0,1
49,4,2,7,1.0,0,1,1,0
50,4,2,13,2.5,0,1,0,1
51,4,2,13,1.0,0,1,0,1
52,5,6,10,3.5,1,0,1,0
53,3,0,11,2.5,0,1,0,1
54,5,6,13,4.0,1,0,0,1
55,5,8,10,1.0,1,0,0,1
56,4,0,15,1.0,0,1,0,1
57,3,4,15,1.0,0,1,1,0
58,4,2,9,1.0,0,1,1,0
59,4,2,16,1.0,0,1,1,0
60,2,6,11,2.5,0,1,1,0
61,5,6,11,5.0,0,1,1,0
62,4,4,9,1.0,1,0,1,0
63,3,2,9,3.0,0,1,0,1
64,4,0,10,3.0,1,0,1,0
65,5,2,15,1.5,0,1,1,0
66,1,4,12,5.0,0,1,1,0
67,4,4,6,1.5,0,1,0,1
68,4,2,8,2.0,0,1,0,1
69,4,12,16,2.5,0,1,1,0
70,4,0,15,1.0,0,1,0,1
71,3,0,10,1.0,1,0,1,0
72,3,2,5,3.0,0,1,1,0
73,5,2,14,2.0,1,0,1,0
74,4,54,11,3.0,0,1,0,1
75,4,6,10,2.5,0,1,0,1
76,3,8,10,1.0,1,0,1,0
77,5,0,11,2.0,1,0,0,1
78,4,2,10,1.0,0,1,1,0
79,2,12,5,1.5,0,1,1,0
80,3,2,12,2.0,0,1,0,1
81,5,4,11,1.5,1,0,0,1
82,4,10,6,1.0,0,1,0,1
83,5,4,15,2.0,1,0,0,1
84,4,2,10,2.5,0,1,1,0
85,4,6,8,2.5,1,0,0,1
86,4,4,6,1.5,0,1,1,0
87,5,4,14,2.0,0,1,1,0
88,4,12,10,1.0,1,0,0,1
89,4,18,7,4.0,0,1,1,0
90,4,0,8,2.0,0,1,0,1
91,4,4,18,2.0,1,0,0,1
92,3,4,6,2.5,0,1,1,0
93,5,0,10,1.0,0,1,0,1
94,4,6,14,1.0,0,1,1,0
95,3,2,10,1.0,0,1,0,1
96,3,2,15,1.0,0,1,1,0
97,4,2,10,1.0,0,1,0,1
98,5,6,14,1.5,1,0,1,0
99,5,0,8,1.0,0,1,0,1
100,4,14,5,5.0,0,1,0,1
101,4,0,17,1.0,0,1,1,0
102,5,4,14,1.0,0,1,1,0
103,4,26,6,1.0,0,1,0,1
104,5,0,18,1.0,0,1,0,1
105,4,10,11,1.0,1,0,1,0
106,5,8,8,1.0,0,1,0,1
107,5,2,18,1.0,0,1,1,0
108,1,6,13,4.0,0,1,0,1
109,5,4,16,1.0,0,1,0,1
110,5,6,19,1.0,1,0,1,0
111,4,0,10,1.0,0,1,1,0
112,3,6,13,1.0,1,0,1,0
113,3,10,19,1.0,1,0,1,0
114,5,8,9,1.0,1,0,1,0
115,5,2,16,1.5,0,1,1,0
116,4,2,14,1.0,0,1,1,0
117,5,0,13,1.0,1,0,1,0
118,5,20,8,2.5,0,1,1,0
119,3,6,13,1.5,1,0,1,0
120,3,2,15,1.5,1,0,1,0
121,5,6,15,1.5,0,1,0,1
122,4,2,13,1.5,0,1,0,1
123,3,18,13,2.5,0,1,1,0
124,5,0,8,1.0,1,0,0,1
125,5,0,12,2.5,1,0,1,0
126,5,0,11,1.0,1,0,1,0
127,3,2,9,1.0,0,1,1,0
128,3,0,0,1.5,0,1,1,0
129,3,8,18,3.5,1,0,0,1
130,4,0,0,2.0,0,1,1,0
131,4,0,0,1.5,0,1,1,0
132,3,12,12,2.0,0,1,1,0
133,3,16,11,2.5,1,0,1,0
134,5,0,0,1.0,0,1,1,0
135,4,0,0,1.0,0,1,1,0
136,5,0,0,3.0,1,0,1,0
137,4,0,0,1.0,0,1,1,0
138,4,0,12,2.0,1,0,1,0
139,4,0,15,1.0,1,0,1,0
140,2,0,0,1.0,0,1,1,0
141,2,8,9,2.0,0,1,1,0
142,4,2,11,1.0,0,1,0,1
143,3,2,13,3.0,1,0,1,0
144,5,0,0,1.5,0,1,1,0
145,4,0,11,1.5,0,1,0,1
146,3,0,0,1.0,0,1,1,0
147,4,2,11,1.0,0,1,0,1
148,3,0,0,1.5,0,1,1,0
149,4,0,10,3.5,1,0,1,0
150,2,0,0,3.5,1,0,1,0
151,4,6,14,4.0,1,0,1,0
152,4,8,10,2.5,0,1,0,1
153,4,0,0,1.0,0,1,1,0
154,4,0,12,1.0,0,1,1,0
155,4,2,8,1.0,1,0,0,1
156,2,8,13,3.0,1,0,1,0
157,5,6,10,3.0,0,1,1,0
158,4,2,15,1.5,1,0,1,0
159,4,4,12,4.0,0,1,0,1
160,3,0,0,2.0,1,0,1,0
161,4,6,7,2.5,0,1,1,0
162,4,0,0,3.0,1,0,1,0
163,5,2,10,2.5,1,0,1,0
164,5,0,7,3.0,1,0,1,0
165,4,16,12,1.0,0,1,1,0
166,4,4,10,3.0,1,0,1,0
167,4,0,16,1.0,1,0,0,1
168,5,0,0,1.0,0,1,0,1
169,4,0,14,1.0,0,1,0,1
170,3,0,0,3.0,0,1,1,0
171,4,2,16,1.0,0,1,0,1
172,4,0,10,2.0,0,1,0,1
173,4,0,0,1.0,1,0,1,0
174,4,4,9,1.0,0,1,0,1
175,4,4,9,4.0,1,0,0,1
176,3,2,11,2.5,1,0,0,1
177,4,4,6,2.5,1,0,1,0
178,4,10,9,3.5,0,1,1,0
179,5,4,11,1.0,0,1,1,0
180,3,10,8,2.5,0,1,0,1
181,4,2,12,1.5,1,0,0,1
182,5,0,17,2.5,0,1,1,0
183,5,56,8,2.5,0,1,1,0
184,1,14,12,1.5,0,1,0,1
185,4,12,11,2.5,0,1,1,0
186,3,2,11,1.5,0,1,0,1
187,4,0,15,1.5,1,0,0,1
188,3,6,9,2.0,0,1,1,0
189,3,4,10,3.0,1,0,1,0
190,4,10,13,1.0,1,0,1,0
191,5,0,9,1.0,1,0,1,0
192,4,12,8,4.5,1,0,0,1
193,4,8,10,3.5,0,1,1,0
194,5,0,14,1.0,1,0,1,0
195,4,0,15,1.0,1,0,1,0
196,5,4,16,1.5,1,0,1,0
197,3,8,10,4.0,0,1,0,1
198,4,24,18,2.5,0,1,1,0
199,4,0,10,1.5,0,1,0,1
200,4,2,16,3.0,0,1,1,0
201,4,6,10,2.0,0,1,0,1
202,4,4,10,2.0,0,1,0,1
203,5,18,6,1.5,0,1,1,0
204,5,6,11,1.0,0,1,0,1
205,4,28,9,3.5,0,1,0,1
206,2,5,7,2.0,0,1,0,1
207,1,10,13,1.0,1,0,0,1
208,4,6,10,2.5,0,1,0,1
209,4,6,7,1.0,0,1,0,1
210,4,10,8,1.5,0,1,0,1
211,5,13,13,4.5,0,1,0,1
212,3,0,14,1.0,0,1,0,1
213,4,15,8,3.0,0,1,0,1
214,5,12,10,1.5,0,1,0,1
215,4,2,15,2.0,1,0,0,1
216,3,22,4,3.0,1,0,0,1
217,3,13,8,3.0,0,1,0,1
218,3,3,8,2.5,0,1,0,1
219,4,4,10,1.0,0,1,0,1
220,4,2,6,1.5,0,1,1,0
221,4,0,0,1.0,0,1,1,0
222,2,2,17,1.0,1,0,1,0
223,3,0,13,5.0,0,1,0,1
224,5,0,14,1.0,0,1,1,0
225,5,16,7,1.0,1,0,1,0
226,5,10,15,2.0,1,0,1,0
227,5,2,12,2.0,0,1,0,1
228,4,14,9,4.5,0,1,0,1
229,3,10,12,1.5,1,0,1,0
230,3,14,14,1.5,1,0,1,0
231,4,4,11,1.0,0,1,0,1
232,4,14,9,2.0,0,1,1,0
233,4,2,13,3.0,0,1,0,1
234,3,18,6,1.0,0,1,0,1
235,5,10,10,2.0,1,0,1,0
236,4,4,13,5.0,1,0,0,1
237,4,20,12,1.0,1,0,1,0
238,2,2,11,1.0,1,0,1,0
239,5,0,0,4.0,1,0,1,0
240,2,14,12,2.5,1,0,1,0
241,3,2,12,2.5,0,1,0,1
242,5,0,0,1.0,1,0,1,0
243,5,0,12,1.5,1,0,1,0
244,4,0,0,1.0,0,1,0,1
245,4,6,18,1.0,1,0,1,0
246,5,4,13,1.0,1,0,1,0
247,5,16,8,5.0,1,0,1,0
248,4,8,5,2.0,0,1,1,0
249,4,0,15,3.0,1,0,0,1
250,4,0,8,3.0,1,0,1,0
251,5,6,10,2.0,0,1,1,0
252,3,4,8,3.5,1,0,1,0
253,3,0,8,2.0,1,0,1,0
254,4,0,12,3.0,1,0,1,0
255,4,2,8,1.5,0,1,1,0
256,4,6,13,1.0,0,1,0,1
257,4,12,11,1.0,0,1,1,0
258,5,8,14,1.5,1,0,1,0
259,3,0,0,1.0,1,0,0,1
260,3,21,18,2.0,0,1,0,1
261,4,2,8,1.0,0,1,0,1
262,5,1,12,1.0,1,0,1,0
263,3,4,9,1.0,1,0,1,0
264,4,0,0,1.0,0,1,0,1
265,4,13,17,3.5,0,1,0,1
266,5,2,10,3.5,1,0,0,1
267,4,8,11,2.0,1,0,0,1
268,5,10,10,2.0,0,1,0,1
269,4,0,0,1.5,0,1,1,0
270,4,15,9,3.0,0,1,0,1
271,4,4,14,2.0,0,1,0,1
272,4,2,11,1.0,0,1,0,1
273,3,2,14,2.0,0,1,0,1
274,4,2,10,1.0,0,1,0,1
275,4,6,12,2.5,0,1,0,1
276,4,75,9,1.0,1,0,1,0
277,3,22,9,2.5,1,0,0,1
278,2,15,8,1.0,0,1,1,0
279,4,8,10,1.5,1,0,0,1
280,4,30,8,3.0,1,0,0,1
281,4,19,10,3.5,1,0,1,0
282,5,1,12,1.0,0,1,0,1
283,5,4,10,1.0,1,0,1,0
284,5,4,11,1.5,0,1,1,0
285,4,2,11,1.5,1,0,0,1
286,4,5,19,1.5,0,1,0,1
287,4,6,12,1.0,0,1,0,1
288,4,6,14,2.0,1,0,0,1
289,5,9,15,1.0,0,1,0,1
290,4,11,11,2.5,0,1,0,1
291,4,0,15,1.5,0,1,0,1
292,5,12,13,1.0,1,0,1,0
293,3,6,18,1.0,0,1,0,1
294,5,8,14,1.0,0,1,0,1
295,4,4,11,2.0,0,1,0,1
296,2,0,0,2.5,0,1,0,1
297,4,10,8,1.5,0,1,0,1
298,4,0,14,1.0,0,1,0,1
299,1,5,16,2.0,0,1,0,1
300,4,14,11,1.0,0,1,1,0
301,4,0,10,2.0,1,0,0,1
302,4,0,14,1.0,0,1,0,1
303,5,0,18,1.5,0,1,0,1
304,4,20,13,1.0,0,1,1,0
305,4,8,12,1.0,0,1,0,1
306,5,0,18,1.0,1,0,1,0
307,4,38,8,1.0,0,1,0,1
308,4,0,12,1.5,1,0,1,0
309,4,18,10,2.0,0,1,1,0
310,4,0,0,2.0,1,0,1,0
311,3,20,13,1.0,0,1,1,0
312,4,3,11,2.0,1,0,1,0
313,4,22,11,1.5,0,1,0,1
314,4,14,13,1.0,1,0,1,0
315,4,40,11,1.0,1,0,1,0
316,5,0,0,1.5,0,1,0,1
317,4,9,9,1.0,0,1,0,1
318,4,0,10,3.5,0,1,0,1
319,4,2,11,3.0,0,1,0,1
320,5,23,13,1.5,0,1,0,1
321,4,12,9,1.0,0,1,1,0
322,3,3,11,2.0,0,1,0,1
323,3,1,15,2.5,0,1,1,0
324,3,0,15,2.5,1,0,1,0
325,4,3,11,2.0,1,0,1,0
326,4,3,16,4.0,1,0,1,0
327,4,8,10,5.0,0,1,1,0
328,5,7,9,2.0,0,1,0,1
329,4,4,14,1.5,0,1,0,1
330,4,2,8,3.0,0,1,1,0
331,4,7,14,1.0,0,1,1,0
332,5,0,0,1.0,1,0,1,0
333,4,0,0,1.0,1,0,1,0
334,4,0,0,1.0,1,0,1,0
335,4,16,15,2.0,1,0,1,0
336,5,12,13,1.5,1,0,0,1
337,4,0,0,2.5,0,1,0,1
338,5,7,17,1.0,0,1,1,0
339,4,4,10,2.5,0,1,0,1
340,4,4,11,2.0,1,0,0,1
341,4,0,0,2.0,0,1,1,0
342,4,11,15,2.0,1,0,1,0
343,3,0,0,1.5,0,1,1,0
344,4,4,10,1.5,0,1,1,0
345,5,7,14,2.5,1,0,1,0
346,5,9,16,1.5,1,0,1,0
347,5,0,9,2.5,0,1,0,1
348,4,0,15,2.0,0,1,0,1
349,2,10,13,5.0,0,1,1,0
350,5,8,8,3.0,1,0,1,0
351,4,2,13,2.5,0,1,0,1
352,4,7,8,2.5,1,0,1,0
353,4,4,8,3.0,0,1,1,0
354,4,4,11,2.0,0,1,0,1
355,5,0,9,1.0,0,1,1,0
356,4,4,13,1.5,0,1,0,1
357,1,2,11,1.5,1,0,1,0
358,3,4,10,1.5,1,0,1,0
359,5,0,16,1.0,1,0,1,0
360,4,0,13,2.5,1,0,1,0
361,4,2,12,2.5,1,0,1,0
362,4,0,10,2.0,0,1,1,0
363,2,0,15,1.0,0,1,0,1
364,3,0,12,1.5,1,0,1,0
365,3,4,10,3.0,0,1,0,1
366,4,0,13,2.0,1,0,0,1
367,5,0,0,1.5,0,1,0,1
368,5,0,10,1.5,0,1,0,1
369,3,10,11,3.0,0,1,0,1
370,3,4,9,1.0,1,0,1,0
371,4,3,12,2.5,0,1,0,1
372,3,8,11,1.0,1,0,1,0
373,3,14,5,2.0,1,0,1,0
374,5,0,19,1.0,1,0,1,0
375,4,2,10,1.5,1,0,1,0
376,5,4,15,1.0,0,1,0,1
377,5,4,10,3.5,1,0,0,1
378,4,0,15,1.5,1,0,0,1
379,4,17,10,2.5,0,1,0,1
380,3,4,14,2.5,1,0,0,1
381,4,5,7,2.0,1,0,1,0
382,4,2,10,1.0,1,0,1,0
383,4,0,0,2.0,1,0,1,0
384,5,14,5,3.5,1,0,0,1
385,5,2,10,2.0,1,0,0,1
386,4,7,6,2.0,0,1,0,1
387,5,0,0,1.5,1,0,1,0
388,4,0,8,1.0,0,1,0,1
389,1,0,0,1.0,1,0,1,0
390,5,11,9,4.5,0,1,0,1
391,2,3,16,3.5,1,0,1,0
392,5,3,7,3.0,1,0,1,0
393,4,0,10,3.5,1,0,1,0
394,3,5,9,3.0,1,0,1,0
395,4,4,11,1.0,1,0,1,0
396,5,2,11,1.0,0,1,1,0
397,4,6,12,2.5,1,0,1,0
398,3,0,14,1.0,0,1,1,0
399,4,0,13,1.5,0,1,1,0
400,5,6,13,1.5,0,1,1,0
401,4,0,13,1.0,1,0,1,0
402,4,2,13,1.0,0,1,1,0
403,4,0,17,1.0,0,1,1,0
404,5,0,13,1.0,0,1,1,0
405,3,2,14,1.5,0,1,1,0
406,5,0,13,1.0,0,1,1,0
407,4,0,12,2.0,0,1,1,0
408,5,0,13,1.5,0,1,1,0
409,4,0,15,1.0,0,1,1,0
410,4,6,17,1.5,0,1,1,0
411,3,10,14,1.5,0,1,1,0
412,5,2,14,1.0,0,1,1,0
413,5,2,7,3.0,0,1,0,1
414,3,6,12,2.0,1,0,1,0
415,4,0,14,1.0,1,0,1,0
416,5,0,12,1.0,0,1,0,1
417,4,0,14,2.0,1,0,1,0
418,5,2,10,3.0,0,1,1,0
419,4,2,10,1.0,0,1,1,0
420,1,6,12,2.0,0,1,1,0
421,4,8,12,1.5,0,1,1,0
422,2,0,11,3.0,1,0,1,0
423,5,2,13,1.0,0,1,0,1
424,4,4,12,5.0,0,1,0,1
425,5,0,11,3.5,0,1,0,1
426,4,2,15,1.0,0,1,1,0
427,4,0,15,1.0,0,1,1,0
428,5,0,12,1.0,1,0,1,0
429,5,4,12,1.0,0,1,1,0
430,3,4,11,1.0,0,1,1,0
431,5,0,14,1.0,0,1,1,0
432,2,4,13,1.0,0,1,1,0
433,4,2,12,1.0,0,1,1,0
434,4,8,12,1.0,0,1,1,0
435,3,16,10,1.5,0,1,1,0
436,5,8,11,3.0,0,1,1,0
437,4,0,15,1.0,0,1,1,0
438,5,0,10,1.0,0,1,1,0
439,4,14,11,2.0,1,0,1,0
440,5,4,11,1.0,0,1,0,1
441,2,6,13,2.5,0,1,1,0
442,4,2,17,1.0,1,0,1,0
443,4,4,13,2.0,0,1,1,0
444,4,2,12,1.0,0,1,1,0
445,4,0,13,2.5,0,1,1,0
446,4,0,16,1.0,0,1,1,0
447,5,4,9,3.5,1,0,1,0
448,3,0,12,2.5,0,1,1,0
449,5,0,13,4.0,1,0,1,0
450,5,2,12,1.0,1,0,1,0
451,4,0,15,1.0,0,1,1,0
452,3,8,16,1.0,0,1,1,0
453,4,0,14,1.0,0,1,1,0
454,4,2,16,1.0,0,1,0,1
455,2,0,16,2.5,0,1,1,0
456,5,0,16,5.0,0,1,1,0
457,4,0,10,1.0,1,0,1,0
458,3,0,13,3.0,0,1,1,0
459,4,0,12,3.0,1,0,1,0
460,5,2,16,1.5,0,1,1,0
461,1,0,12,5.0,0,1,1,0
462,4,0,10,1.5,0,1,1,0
463,4,0,11,2.0,0,1,1,0
464,4,6,15,2.5,0,1,1,0
465,4,2,11,1.0,0,1,1,0
466,3,0,10,1.0,1,0,1,0
467,3,2,11,3.0,0,1,1,0
468,5,0,14,2.0,1,0,1,0
469,4,4,11,3.0,0,1,1,0
470,4,0,11,2.5,0,1,1,0
471,3,0,11,1.0,1,0,1,0
472,5,1,13,2.0,1,0,1,0
473,4,0,10,1.0,0,1,1,0
474,2,14,11,1.5,0,1,1,0
475,3,0,12,2.0,0,1,1,0
476,5,2,9,1.5,1,0,1,0
477,4,4,11,1.0,0,1,1,0
478,5,2,13,2.0,1,0,0,1
479,4,2,12,2.5,0,1,1,0
480,4,4,12,2.5,1,0,1,0
481,4,6,11,1.5,0,1,1,0
482,5,4,15,2.0,0,1,1,0
483,4,6,11,1.0,1,0,1,0
484,4,6,10,4.0,0,1,1,0
485,4,2,11,2.0,0,1,1,0
486,4,6,13,2.0,1,0,1,0
487,3,0,12,2.5,0,1,1,0
488,5,2,14,1.0,0,1,1,0
489,4,2,12,1.0,0,1,1,0
490,3,4,13,1.0,0,1,0,1
491,3,6,11,1.0,0,1,0,1
492,4,0,12,1.0,0,1,1,0
493,5,4,13,1.5,1,0,1,0
494,5,2,13,1.0,0,1,1,0
495,4,12,8,5.0,0,1,1,0
496,4,0,16,1.0,0,1,1,0
497,5,2,12,1.0,0,1,0,1
498,4,16,10,1.0,0,1,1,0
499,5,0,16,1.0,0,1,1,0
500,4,10,10,1.0,1,0,1,0
501,5,4,10,1.0,0,1,1,0
502,5,4,14,1.0,0,1,1,0
503,1,8,11,4.0,0,1,1,0
504,5,2,14,1.0,0,1,1,0
505,5,4,14,1.0,1,0,1,0
506,4,4,11,1.0,0,1,1,0
507,3,12,10,1.0,1,0,1,0
508,3,10,18,1.0,1,0,1,0
509,5,4,10,1.0,1,0,1,0
510,5,6,14,1.5,0,1,1,0
511,4,4,16,1.0,0,1,1,0
512,5,6,15,1.0,1,0,1,0
513,5,14,11,2.5,0,1,1,0
514,3,2,14,1.5,1,0,1,0
515,3,0,14,1.5,1,0,1,0
516,5,6,13,1.5,0,1,1,0
517,4,2,13,1.5,0,1,1,0
518,3,4,13,2.5,0,1,1,0
519,5,0,11,1.0,1,0,1,0
520,5,2,9,2.5,1,0,1,0
521,5,0,11,1.0,1,0,1,0
522,3,0,11,1.0,0,1,1,0
